community_clusters,hashtags_of_community_clusters,score_of_community_clusters,k_mean_clusters,hashtags_of_k_mean_clusters,score_of_k_mean_clusters,levenshtein_clusters,hashtags_of_levenshtein_clusters,score_of_levenshtein_clusters,best_clusters,hashtags_of_best_clusters,score_of_best_clusters
community cluster 11,"['holiday', 'croatia', 'vacation', 'beautiful', 'great', 'summer', 'venice']",51.75,k mean cluster 11,"['summerclothing', 'bucketlisthike2021', 'summerinthecitygraz', 'summeringreece', 'explorethecity']",6.875,levenshtein cluster 11,"['bestfood', 'seafood', 'ınstagood', 'asianfood', 'instafood', 'drinkstagram', 'instagram', 'instagood']",32.0,,,
community cluster 12,"['best', 'photooftheday', 'tennis', 'travel', 'vacation', 'beautiful', 'summer', 'venice']",55.0,k mean cluster 12,"['alldayeveryday', 'feetupfriday']",3.5,levenshtein cluster 12,"['food', 'wood', 'moon', 'hund', 'sun', 'see', 'soon', 'mood']",38.0,,,
community cluster 13,"['photooftheday', 'hiking', 'croatia', 'instagood', 'pool', 'nice', 'beautiful', 'summer']",54.0,k mean cluster 13,"['veli', 'krk', 'öbb', 'yolo', 'röd', 'glögg', 'kelag', 'kohlrabi', 'koeln', 'Vela', 'kevin', 'july', 'kids', 'vly', 'vcl', 'abkühlung', 'kribbeln', 'prickeln', 'nudeln', 'LOVE', 'cola']",0,levenshtein cluster 13,"['freude', 'drinks', 'friendship', 'essen', 'drink', 'ferien', 'friends', 'new', 'wien']",54.25,,,
community cluster 14,"['view', 'holiday', 'spielberg', 'cat', 'bay', 'beautiful', 'summer']",38.25,k mean cluster 14,"['brutaleultras', 'hazelnut', 'brasileira', 'brenebrownquotes', 'macadamianuss', 'justaminute', 'purergenuss', 'brisbanecity', 'breakingnews']",7.875,levenshtein cluster 14,"['icetea', 'milktea', 'icedtea', 'matetea', 'icecream', 'cute', 'tea', 'ikea', 'insta']",31.5,,,
community cluster 15,"['photooftheday', 'summer', 'hiking', 'instagood', 'pool', 'nice', 'cat', 'croatia']",49.0,k mean cluster 15,"['kumberg', 'ffkumberg', 'forbes30under30', 'krimibücher', 'andreasberger', 'lorenzbox', 'kreuzteich']",9.0,levenshtein cluster 15,"['foodblog', 'foodlovers', 'foodblogger', 'foodlover']",33.0,,,
community cluster 16,"['best', 'travel', 'bay', 'vacation', 'pool', 'nice', 'green', 'summer']",42.0,k mean cluster 16,"['flyinggarden', 'hikinggadget', 'aufstellungsarbeit', 'flyinthesky', 'flyinginnature', 'flyingprivate']",7.5,levenshtein cluster 16,"['österreich', 'Österreich']",21.0,,,
community cluster 17,"['view', 'photooftheday', 'holiday', 'hiking', 'instagood', 'nice', 'cat', 'croatia']",62.0,k mean cluster 17,"['homesweethome', 'weekendvibes', 'atomosshogun', 'rocketespresso', 'swedenshots', 'dancingshoes', 'workshops', 'womanhood', 'womeninbusiness', 'womenintech', 'womenincoffee', 'womenfashion', 'goldenhour', 'womensday', 'comebackstronger', 'wochenende', 'wochenstart', 'comeandplay', 'workshop', 'bloomcoffeeschool', 'foundersvoices', 'womenonstage', 'videoshoot', 'momentefesthalten', 'wohlfühlen', 'datenschutz', 'wimhofmethod', 'agameoftones', 'romanshorn', 'blackshoes', 'popupstores', 'statementshoes', 'wedgesshoes', 'pumpshoes', 'pumpshoe', 'fancyshoes', 'luxuryshoes', 'damenschuhe', 'brandnewshoes', 'wbwersonst', 'womensrights', 'womeninmusicbusiness']",0,levenshtein cluster 17,"['cat', 'mut', 'bar', 'mare', 'brot', 'krk', 'tb', 'art', 'tbt']",38.5,,,
community cluster 18,"['photooftheday', 'best', 'happy', 'smile', 'vacation', 'instadaily', 'igers', 'igersaustria']",61.0,k mean cluster 18,"['bcodospan', 'enjoy', 'bourbon', 'cookie', 'mushroom', 'foodism', 'book', 'besos', 'tudook', 'sheconomy', 'bowl', 'gowow', 'bowlup', 'rooftop', 'ootd', '4x100m', 'autonom', 'foto', 'xiaomi', 'followme', 'aboutBook', 'rooibos', 'hoops', 'bloom', 'bookkisa', 'colombia', 'sogood', 'bowls', 'oott', 'boudoir', 'oldbooks', 'boots', 'blooming', 'boston', 'roots', 'foody', 'bozen', 'roiboos', 'slowmo', 'boho', '1852m', 'bologna', 'bathroom']",0,levenshtein cluster 18,"['duft', 'boss', 'rost', 'musik', 'rose', 'uk', 'dusk', 'music', 'dose']",20.125,,,
community cluster 19,"['view', 'holiday', 'hiking', 'travel', 'instagood', 'nice', 'cat', 'croatia']",67.0,k mean cluster 19,"['gala', 'c4d', 'alps', 'a7s', 'haídi', 'cold', 'windy', 'wood', 'sale', 'wildsoul', 'wsnh', 'wildeacai', 'goals', 'workhard', 'bass', 'wahle', 'bali', 'capi', 'wach', 'band', 'back', 'fotd', 'gold', 'walkies', 'word', 'water', 'cbd', 'bad', 'wifiwalk', 'thewild', 'gowilalm', 'calm', 'naah', 'world', 'wagyu', 'leechwald', 'café', 'wanda']",0,levenshtein cluster 19,"['london', 'lockdown', 'torte', 'slowdown', 'Lockdown', 'mode', 'monday', 'dose', 'pure']",21.875,,,
community cluster 20,"['view', 'holiday', 'hiking', 'travel', 'spielberg', 'vacation', 'cat', 'croatia']",67.0,k mean cluster 20,"['schöcklland', 'beyourownbrand', 'schenegegend', 'stockholmsbränneri', 'foodtrend', 'probrands', 'shorelineband', 'edsheeran', 'shepreneur', 'unruhestand', 'schokolade', 'sourdoughbread', 'holland', 'skateboarden', 'skateboard', 'snowboarding', 'stayhomebaby', 'memyselfandI', 'schilcherland', 'schönbrunn', 'schoenbrunn', 'burgenland', 'schreiberling', 'shoedangle', 'shoegasm', 'shoeporn', 'shoefan', 'greenbrain', 'Greenbrain', 'rhodeisland', 'rhodesisland', 'rhodesgrandeblue', 'rhodosisland', 'igersrhodeisland']",0,levenshtein cluster 20,"['atp', 'tasty', 'tarte', 'a7s', 'taste', 'party', 'park', 'art', 'pasta']",34.125,,,
community cluster 21,"['view', 'hiking', 'tb', 'mountains', 'inlove', 'vacation', 'cat', 'croatia']",56.0,k mean cluster 21,"['nairobikenya', 'baderhaus', 'razer', 'lakes', 'luxury', 'makesmehappy', 'habaneros', 'barbecue', 'habanero', 'backhendl', 'badbunny', 'backen', 'laktosefrei', 'energy', 'madebyme', 'babyboy', 'blazer', 'Marry', 'raspberry', 'takeaway', 'TapeArt', 'bäckerin', 'barkeeper', 'bewerb', 'takeit', 'cranberry', 'mayermayer', 'Factory', 'blackfriday', 'backless', 'berry', 'barbershop', 'makeup', 'warmerdays', 'budapest', 'garry', 'bäckerei', 'baddays', 'daheim', 'larry', 'carry', 'sneakpeek', 'kukuruz', 'behappy', 'mockerymia', 'mockery', 'lakegram', 'lakeview', 'lager']",0,levenshtein cluster 21,"['bbq', 'sea', 'team', 'tee', 'see', 'tb', 'tea']",38.25,,,
community cluster 22,"['view', 'holiday', 'travel', 'spielberg', 'vacation', 'pool', 'cat', 'croatia']",61.0,k mean cluster 22,"['mutzurlücke', 'vöcklabruck', 'voecklabruck', 'VielGluck', 'VielGlück', 'erfolgistkeinglück', 'sonntagsglück']",9.0,levenshtein cluster 22,"['makeup', 'metal', 'fair', 'mountains', 'moda', 'montag', 'mate', 'mountain', 'donau']",22.75,,,
community cluster 23,"['view', 'holiday', 'travel', 'bay', 'vacation', 'nice', 'cat']",60.75,k mean cluster 23,"['longtimenoselfie', 'morningview', 'kärntnerei', 'demherzenfolgen', 'stoppgewaltgegenfrauen', 'schuldenfrei', 'flouridfrei', 'flouridefree', 'glutenfrei', 'mirrorselfie', 'Morgenstund', 'farbenfroh', 'lohbergerandfriends', 'vortragsreihe', 'morningtea', 'crueltyfree', 'meilenstein', 'hortensien', 'farbenfrohewelt', 'markenstrategie', 'barrierefrei', 'barrierfrei', 'tierleidfrei']",0,levenshtein cluster 23,"['beach', 'bar', 'best', 'healthy', 'health', 'team', 'beauty', 'brunch']",32.0,,,
community cluster 24,"['holiday', 'travel', 'bay', 'vacation', 'cat']",60.5,k mean cluster 24,"['hplederhaas', 'warmemorial', 'noaddedsugar', 'deixaeladançar', 'dreiuhrnachts', 'onepotmeal', 'driedfruitsnacks', 'dahoamisdahoam', 'themountain', 'personal', 'diekraftderrituale', 'lockdownalltag', 'upsidedown', 'käferbohnensalat', 'discount', 'historical', 'miejskadżungla']",0,levenshtein cluster 24,"['cocktails', 'cocktailbar', 'cocktail']",22.75,,,
community cluster 25,"['tennis', 'orfdrei', 'radiokulturhaus', 'vernissage', 'spielberg', 'ameizing', 'manpower', 'politicaldiscussion']",12.0,k mean cluster 25,"['grünersee', 'ohduwunderschöneszist', 'grübchenonfleek', 'therenderers', 'rinderwahnwien', 'immerwiedergerne', 'lgvgärtnergemüse', 'gründerinnen', 'gründerinnennetzwerk', 'gründermütter', 'gründerstory', 'arunnerseye', 'grünerveltliner', 'grünertee', 'holunderbeere', 'gründerszene', 'grundermesse', 'grunderszene', 'glucklichermensch', 'vorderergosausee', 'erdbeerdessert', 'freundetreffen', 'kapuzinerkresse', 'tierleidfreiessen', 'grandebluerhodes', 'trinktmehrwasser']",0,levenshtein cluster 25,"['naturelover', 'naturelovers', 'naturelove']",19.5,,,
community cluster 26,"['blackouttuesday', 'explore', 'home', 'tb', 'nature', 'happynewyear', 'beautiful', 'memories']",56.0,k mean cluster 26,"['perfect', 'presents', 'progress', 'protein', 'present', 'brotzeit', 'butperfect', 'products', 'prtexte', 'promocode', 'präbichl']",8.75,levenshtein cluster 26,"['nice', 'view', 'winter', 'winzer', 'cine', 'wine', 'vibe', 'vibes', 'ginger']",26.25,,,
community cluster 27,"['friends', 'travelgram', 'tb', 'photography', 'graz', 'sun', 'greece', 'sea']",65.0,k mean cluster 27,"['sun', 'jp', 'cat', 'bay', 'uae', 'tbt', 'rain', 'TOP', 'fun', 'sdg', '5tag', 'gin', 'santa', 'bar', 'japan', 'jumpman', 'tan', 'acai', 'hanf', 'grz', 'car', 'run', 'cb7', 'fbf', 'BMW', 'gay', 'Ott', 'jury', 'job', 'ott', 'namen', 'rap', 'mjam', 'süß', 'HG3', 'jeans', 'clean', 'açaí', 'NEW', 'rdy', 'urban', 'orf', '007', 'plane', 'tbf', 'fancy', 'danke', 'mtb', 'jobs', 'pag', 'Graz', 'BBQ', 'juhuu', 'tjJFS', 'iam', 'bat', 'ramen', 'raw', 'mai', 'USA']",0,levenshtein cluster 27,"['coffeelovers', 'coffeelover']",14.0,,,
community cluster 28,"['summer', 'holiday', 'sunshine', 'tb', 'love', 'sunset', 'vacationmode', 'dream']",64.0,k mean cluster 28,"['eastersippen', 'afternoontea', 'bestbarintown', 'interior', 'afterwork', 'superfood', 'burgerporn', 'afterlockdown', 'afterworkaperol', 'bestburgerintown', 'luftballon', 'aftercoronatime', 'aftercorona', 'motherhood', 'waterbomb', 'wasserbombe', 'youarethereason', 'afghanwomen']",0,levenshtein cluster 28,"['verrucktnachmarry', 'verrücktnachmarry', 'verrücktnachbarry']",16.25,,,
community cluster 29,"['home', 'tb', 'happynewyear', 'beautiful', 'italy', 'austria', 'memories']",46.125,k mean cluster 29,"['explore', 'mylove', 'inlove', 'catlover', 'carlover', 'gündorf', 'ginfluencer', 'gintime', 'swedenlove', 'gintonica', 'gintonic', 'ginlovers', 'ginlover', 'ginbottle', 'friedlove', 'fermentedlove', 'felizanonovo', 'syonlounge', 'girlpower', 'winelover', 'likelouis', 'meinewoche', 'selflove', 'shinemore', 'gaylove', 'citylove', 'bingoAbend', 'girlboss', 'employee', 'winelife', 'gujizone', 'gondola', 'tealove', 'guineapiglove', 'discover', 'girlspower', 'girlsout', 'hangloose', 'woodlove', 'redlove', 'Kinesiologie', 'kinesiologie', 'veganlove', 'styrialove', 'ciderlove']",0,levenshtein cluster 29,"['nice', 'loveit', 'love', 'vote', 'like', 'nike', 'lake', 'mode', 'dose']",36.75,,,
community cluster 30,"['valentinesday', 'holiday', 'home', 'love', 'happynewyear', 'nye', 'beautiful']",66.375,k mean cluster 30,['meinvorhanghängtimbild'],1.875,levenshtein cluster 30,"['sunny', 'moda', 'sonntag', 'sunnyday', 'montag', 'yoga', 'sunnydays', 'sunday', 'monday']",27.125,,,
community cluster 31,"['blackouttuesday', 'explore', 'travelphotography', 'travel', 'nature', 'happynewyear', 'photography', 'tea']",71.0,k mean cluster 31,"['musik', 'music', 'swedish', 'spirits', 'sunrise', 'spicy', 'sissy', 'müsli', 'keksi', 'eis', 'kiwi', 'sushi', 'suzuki', 'selfie', 'dimsum', 'sirup', 'guji', 'picnic', 'sexy', 'pisa', 'pics', 'mist', 'miami', 'spritzig', 'süffig', 'susegg', 'bigkid', 'fiba', 'signs', 'mission', 'nimmsmit', 'fisch', 'fish', 'sos', 'eisbox', 'stmk', 'bliss', 'ski', 'kitzski', 'miejski']",0,levenshtein cluster 31,"['cat', 'mut', 'love', 'vote', 'mylove', 'lake', 'mate', 'cute', 'cake']",42.0,,,
community cluster 32,"['view', 'holiday', 'travelgram', 'love', 'happynewyear', 'inlove', 'graz', 'sun']",60.0,k mean cluster 32,"['handmadeinaustria', 'handmadewithlove', 'palmademallorca', 'wynwoodartdistrict', 'bestplaceaustria']",8.25,levenshtein cluster 32,"['newyears', 'newyearsparty', 'newyearsday', 'newyear', 'newyearseve']",17.875,,,
community cluster 33,"['sunshine', 'home', 'happynewyear', 'dream', 'sunset', 'vacationmode', 'summer']",40.5,k mean cluster 33,[],0.0,levenshtein cluster 33,"['nice', 'milch', 'minze', 'vino', 'kuchen', 'kochen', 'pure', 'küche']",23.0,,,
community cluster 34,"['blackouttuesday', 'explore', 'home', 'travel', 'nature', 'happyme', 'beautiful', 'memories']",64.0,k mean cluster 34,"['klassischeraperitiv', 'enjoythelittlethings', 'cooksclubcitybeachrhodes']",4.875,levenshtein cluster 34,"['food', 'pool', 'moon', 'soon', 'foodie', 'cold', 'cool', 'foto', 'foodies']",28.0,,,
community cluster 35,"['view', 'friends', 'travelgram', 'home', 'photography', 'inlove', 'graz', 'sun']",58.0,k mean cluster 35,"['soulmate', 'colorgrading', 'cornaten', 'tomaten', 'großepflanzen', 'chocolate', 'halloween', 'collab', 'vortragende', 'techfrauen', 'chocolatecake', 'kollagen', 'tricollagen', 'following', 'cologne', 'radlfahrn', 'vollfein', 'coldbrew', 'wohlfühlpaket', 'zellamsee', 'choclate', 'cyclades', 'relaxen', 'Blockaden', 'schlafen', 'loslassen', 'NEINsagen', 'Schlemmen', 'smallalley', 'norwegen']",0,levenshtein cluster 35,"['cat', 'mut', 'öbb', 'lgbt', 'cats', 'tee', 'bf', 'bbq', 'tbt']",23.625,,,
community cluster 36,"['happyplace', 'home', 'love', 'dream', 'sunset', 'beautiful', 'vacationmode', 'summer']",56.0,k mean cluster 36,"['swedishglögg', 'umabebedessa', 'weitergehts', 'wedontthinklimits', 'highheels', 'weekendplans', 'selfiequeens', 'wedges', 'wedgeshoes', 'wedgessneakers', 'wedgesneakers', 'wedgesshoesheels', 'yellowheels', 'yellowheel', 'yellowhighheels', 'newhighheels', 'niedagewesen', 'redheels', 'redhighheels', 'rotehighheels', 'heelerella']",0,levenshtein cluster 36,"['nice', 'life', 'love', 'nye', 'inlove', 'like', 'rose', 'cover', 'home']",42.0,,,
community cluster 37,"['blackouttuesday', 'explore', 'travelphotography', 'nature', 'history', 'tea', 'beautiful', 'memories']",51.0,k mean cluster 37,"['lifeinmiddleeast', 'sunnydays', 'easyrecipes', 'essentialoils', 'epigenetics', 'massentierhaltung', 'süssesbusiness', 'geschenkkarte', 'fermentiert', '30servings', 'esseninsalzburg', 'essengehen', 'omasfotoskills', 'innvestmentpunk', 'pioneersfestival2019', 'eventhighlight', 'wissenistmacht', 'veganfestivals', 'libertyale']",0,levenshtein cluster 37,"['goodtimes', 'goodlife', 'goodtime', 'foodie', 'goodvibes', 'foodies']",28.75,,,
community cluster 38,"['friends', 'sunshine', 'travelgram', 'life', 'photography', 'graz', 'beautiful', 'greece']",58.0,k mean cluster 38,"['yeshappyandenoughеnjoy', 'shopping', 'shoppingcityseiersberg', 'officeday', 'shoppingingraz', 'shoppinggraz', 'shoppingquotesoftheday', 'shoppingtime', 'shoppingtour', 'shootingday', 'schladmingplanai']",9.375,levenshtein cluster 38,"['view', 'best', 'bts', 'bio', 'xeen', 'bier', 'beer', 'bf', 'wien']",28.875,,,
community cluster 39,"['india', 'explore', 'nature', 'tea', 'happyme', 'beautiful', 'italy', 'austria']",51.0,k mean cluster 39,"['guggenheimmuseum', 'schokoladenmanufaktur']",3.5,levenshtein cluster 39,"['geschenk', 'geschenke']",10.5,,,
community cluster 40,"['valentinesday', 'blackouttuesday', 'explore', 'travel', 'nature', 'history', 'tea', 'memories']",56.0,k mean cluster 40,"['einmegaerlebnis', 'gincocktails', '15minutemeals', 'dankebeljo', 'hillspaythebills', 'haindlmuehle', 'bingosounds', 'ingredients', 'ringanapeople', 'hangloosebeach', 'cinderella', 'wiewirlebenwollen']",6.5,levenshtein cluster 40,"['mut', 'snacks', 'essen', 'sea', 'wein', 'snack', 'break', 'bbq', 'black']",30.625,,,
community cluster 41,"['view', 'travelphotography', 'travelgram', 'photography', 'graz', 'sun', 'sea', 'memories']",55.0,k mean cluster 41,"['lebanon', 'eventants', 'negroni', 'eggs', 'vegan', 'newgoals', 'melanzani', 'veganlife', 'vegetarisch', 'vegandrinks', 'omega3', 'omega6', 'pregnant', 'f52grams', 'yogapants', 'lignano', 'legends', 'beats', 'ringana', 'veggie', 'giveaways', 'ilexguayusa', 'Spaziergang', '25grams', 'vegandrink', 'vocals', 'veigan', 'bergmensch', 'jobgoals', 'lifegoals', 'lovecats', 'vegetables', 'england', 'vegtables', 'exitgames', 'vegane', 'veganeats', 'govegan', 'veganism', 'vegansofig', 'vegancheese', 'veganessen', 'vegansnack', 'veganda', 'vegangraz', 'vitamins', 'vegafest', 'eveningsky']",0,levenshtein cluster 41,"['duft', 'red', 'moon', 'frucht', 'fun', 'fruity', 'fruit', 'fruits']",29.0,,,
community cluster 42,"['holiday', 'animals', 'love', 'dream', 'sunset', 'vacationmode', 'greece', 'memories']",65.0,k mean cluster 42,"['hereweare', 'waitwhat', 'activewear', 'wettbewerb', 'withoutsugar', 'sportswear', 'whatsbetter', 'wohlfuhlatmosphare', 'nohamsterswereharmed', 'footwear']",8.25,levenshtein cluster 42,"['nebel', 'boss', 'dessert', 'desserts', 'beer', 'flir', 'em', 'desert']",15.0,,,
community cluster 43,"['valentinesday', 'explore', 'italy', 'australia', 'summer', 'austria', 'memories']",28.125,k mean cluster 43,"['weihnachten', 'weihnachtsbaum', 'weihnachtsbäckerei', 'weihnachtsduft', 'visionmachtdichfreu', 'vorweihnachtenszeit', 'esweihnachtetbald', 'vorweihnachtszeit', 'weilichesmirwertbin', 'weihnachten2020', 'lesenmachtschlau']",9.375,levenshtein cluster 43,"['dec', 'red', 'sea', 'team', 'tee', 'new', 'usa', 'news', 'meat']",24.5,,,
community cluster 44,"['nurheute', 'valentinesday', 'holiday', 'love', 'nature', 'photography', 'graz', 'tea']",76.0,k mean cluster 44,"['feuersalamander', 'kaffeekaffeekaffee', 'bloomspecialtycoffee', '25gramscoffee', 'suessmundkaffee', 'betterversionofme', 'absolutelysugarfree', 'familieschärfkaffee', 'familieschaerfkaffee']",8.75,levenshtein cluster 44,"['zeit', 'repost', 'best', 'bestes', 'bts', 'boss', 'rost', 'Repost', 'meat']",16.625,,,
community cluster 45,"['valentinesday', 'explore', 'animals', 'sunshine', 'life', 'sunset', 'happyme', 'vacationmode']",47.0,k mean cluster 45,['spontaneselfieattacke'],1.875,levenshtein cluster 45,"['repost', 'hotel', 'nebel', 'äpfel', 'metal', 'rezepte', 'rose', 'cover', 'rezept']",19.25,,,
community cluster 46,"['blackouttuesday', 'explore', 'travelphotography', 'travel', 'nature', 'history', 'photography', 'happyme']",68.0,k mean cluster 46,"['islandgirl', 'gypsygirl', 'tothegirls', 'enoughaugust', 'yogapractice', 'gaybrasil', 'yogachallenge', 'yogazuhause', 'yogavorort', 'yogaposen', 'yogareise', 'yogalife', 'excitedgirl', 'wolfgangikirche', 'farmgirl', 'shoedazzlegirl', 'nodairy']",0,levenshtein cluster 46,"['Corona', 'snow', 'moon', 'corona', 'sonne', 'soon', 'cool', 'dog', 'corgi']",21.0,,,
community cluster 47,"['view', 'friends', 'explore', 'travelgram', 'inlove', 'graz', 'sun', 'sea']",48.0,k mean cluster 47,"['springevenings', 'lovelymoments', 'livethelittlethings', 'triplesevensummits', 'eisteedesmonats', 'livekonzert', 'videoeffects', 'liveperformance', 'livemoments', 'liebevolleworte', 'weloveourclients', 'onlineevent']",7.0,levenshtein cluster 47,"['singer', 'winzer', 'wine', 'singen', 'ingwer', 'vibe', 'ginger', 'hunger']",21.0,,,
community cluster 48,"['explore', 'sunshine', 'happyplace', 'love', 'sunset', 'happyme', 'greece']",59.625,k mean cluster 48,"['takemeback', 'bringon2018', 'teaonthebeach', 'lieblingsmensch', 'tryingnewways', 'lieblingsgetränk', 'chasingpeacock', 'welcomeback']",9.0,levenshtein cluster 48,"['pool', 'moda', 'soon', 'mode', 'cold', 'cool', 'meow', 'mood']",23.0,,,
