community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster,score_multiplied
community cluster 525,"['detox', 'yummi', 'chai', 'icetea', 'tee', 'yummy', 'milktea', 'berries']",39,0.0625,2.4375
community cluster 796,"['büchersüchtig', 'bücherliebe', 'crowdfunding', 'steiermark', 'unruhestand', 'pioniere', 'frauengeschichte', 'bücher2021']",24,0.10126582278481,2.43037974683545
community cluster 2228,"['refresh', 'local', 'styria', 'fresh', 'tasty', 'refreshing', 'marry', 'picture']",48,0.05,2.4
community cluster 1649,"['arbeitenwoandereurlaubmachen', 'travel', 'reading', 'dreamjob', 'wanderlust', 'placetobe', 'notjustapearlchallenge', 'bestworkingplace']",31,0.076923076923077,2.38461538461538
community cluster 1154,"['newyearseve', 'holiday', 'celebrate', 'newyearsparty', 'nye', 'party', 'holidays', 'newyearsday']",40,0.055555555555556,2.22222222222222
community cluster 2797,"['mariobarthtattoo', 'farmer', 'tattoo', 'vienna', 'inkedgirls', 'inked', 'redhair', 'mariobarthtattoosalongraz']",22,0.101010101010101,2.22222222222222
community cluster 3440,"['outfitideas', 'firstprize', 'outfitinspo', 'redhighheels', 'outfitpost', 'outfits']",10,0.216326530612245,2.16326530612245
community cluster 806,"['podcasting', 'lockdown', 'inspiration', 'podcast', 'zerowaste', 'karriere', 'gastronomie', 'nachhaltigkeit']",41,0.05,2.05
community cluster 773,"['karriereundkind', 'fraueninführung', 'womanatwork', 'verenapausder', 'mompreneur', 'steiermark', 'femaleempowerment', 'karriere']",26,0.076923076923077,2
community cluster 567,"['kärnten', 'collab', 'startup', 'easter', 'ostern', 'organic']",43.75,0.045454545454546,1.98863636363636
community cluster 1677,"['personalksiertenamenslieder', 'personalisierteNamenslieder', 'freude', 'mutigdiewelterobern', 'taufgeschenk', 'mut', 'dasperfektegeschenk', 'musikalsbreitensport']",16,0.118421052631579,1.89473684210526
community cluster 3632,"['igersstyria', 'styrialove', 'styria', 'madeinaustria', 'love', 'visitstyria']",57.5,0.032727272727273,1.88181818181818
community cluster 1715,"['probieren', 'erfrischend', 'sommer', 'lecker', 'vegan', 'fruchtig', 'getränke', 'trinken']",47,0.04,1.88000000000001
community cluster 2006,"['startupaustria', 'startuptipps', 'startup', 'ideentriebwerkgraz', 'fuckupnights', 'austria', 'startupscenegraz', 'quotes']",27,0.068493150684932,1.84931506849315
community cluster 2295,"['vegandrink', 'getränke', 'gin']",14.625,0.125,1.828125
community cluster 1770,"['montag', 'mate', 'sweet', 'monday', 'vegan', 'selfmade', 'giveaway', 'berries']",43,0.042016806722689,1.80672268907563
community cluster 2407,"['schönensonntag', 'holiday', 'sonntag', 'zeit', 'sonne', 'selfie', 'summer', 'spring']",33,0.050632911392405,1.67088607594937
community cluster 1849,"['carinthia', 'love', 'businesswoman', 'italy', 'austria', 'springvibes', 'spring']",51.75,0.031446540880503,1.62735849056604
community cluster 1885,"['specialtycoffee', 'vegan', 'style', 'bloomspecialtycoffee', 'italia', 'coldbrewcoffee', 'italy', 'coffee']",50,0.029649595687332,1.48247978436657
community cluster 789,"['zitateundsprüche', 'michelleobamaquotes', 'motivationssprüche', 'starkefrauen', 'mittwochmotivation', 'steiermark', 'frauenbusiness', 'nocompetitionhere']",24,0.060606060606061,1.45454545454545
community cluster 150,"['lovewhatwedo', 'styria', 'bestteam', 'ameizing', 'loveourjob', 'eventants', 'culture', 'rain']",25,0.054054054054054,1.35135135135135
community cluster 3565,"['feiernmitmädels', 'lorenzfingerfoodbox', 'feiernmitfreunden', 'feiernmitkindern', 'mitliebegemacht', 'garten', 'terrasse', 'picknick']",10,0.133333333333333,1.33333333333333
community cluster 1374,"['adventure', 'wandern', 'natur', 'wanderlust', 'startup', 'spring']",66.25,0.02,1.325
community cluster 1496,"['cute', 'music', 'style', 'smile', 'life', 'fun', 'delicious', 'beauty']",51,0.025974025974026,1.32467532467533
community cluster 1516,"['raspberry', 'style', 'blogger', 'shots', 'nature', 'photography', 'fashion', 'art']",70,0.018518518518519,1.2962962962963
community cluster 1812,"['friends', 'game', 'funny', 'partnerincrime', 'friendship', 'fun', 'drinks', 'shooting']",54,0.023809523809524,1.28571428571429
community cluster 599,"['salzburg', 'summertime', 'flowers', 'tb', 'foodporn', 'croatia', 'sun', 'summer']",62,0.02,1.24
community cluster 94,"['girlstrip', 'home', 'happiness', 'summervibes', 'roadtrip', 'beach', 'croatia', 'igersaustria']",68,0.018181818181818,1.23636363636363
community cluster 2560,"['breakfast', 'banana', 'vegan', 'tasty', 'graz', 'veganbreakfast', 'whatveganseat', 'veganfood']",50,0.023255813953489,1.16279069767442
community cluster 311,"['drivinghomeforchristmas', 'styria', 'newchapter', 'vwgolf', 'golffamily', 'vwgolf8rline', 'christmasathome', 'inspired']",23,0.050359712230216,1.15827338129496
community cluster 1697,"['hitze', 'genuss', 'frisch', 'lemon', 'zitrone', 'eistee', 'berries', 'weekend']",41,0.027777777777778,1.13888888888889
community cluster 763,"['belästigungvonfrauen', 'empoweredwomenempowerwomen', 'steiermark', 'graz', 'frauenpodcast', 'gegengewalt', 'aufstehen', 'neinsagen']",23,0.049180327868852,1.1311475409836
community cluster 809,"['femalefounders', 'employee', 'companyculture', 'company', 'corgi', 'feminds', 'femaleempowerment']",11.25,0.095833333333333,1.078125
community cluster 2887,"['blackisthenewblack', 'firstprize', 'blackshoes', 'redhighheels', 'blackhighheels', 'blacksneakers']",10,0.107692307692308,1.07692307692308
community cluster 2777,"['instacats', 'catsagram', 'cake', 'vienna', 'glutenfrei', 'torte', 'glutenfree', 'cutecats']",29,0.037037037037037,1.07407407407407
community cluster 1981,"['winelife', 'editions', 'wineoclock', 'cheers', 'win', 'winelover', 'giveaway']",32.625,0.032520325203252,1.06097560975609
community cluster 3455,"['highheelslover', 'highheel', 'highheelsaddiction', 'highlights', 'redhighheels', 'redheels']",10,0.103125,1.03125
community cluster 2656,"['österreichurlaub', 'igersstyria', 'styrialove', 'foodporn', 'styriagram', 'österreichliebe', 'steiermark', 'österreichtour']",36,0.028571428571429,1.02857142857143
community cluster 2830,"['luftballon', 'familygoals', 'leben', 'life', 'party', 'vienna', 'behappy', 'summernights']",33,0.030769230769231,1.01538461538462
community cluster 3548,"['wiewirlebenwollen', 'feste', 'ausdemgarten', 'mitliebegemacht', 'instafood', 'mitliebegekocht', 'igersgraz', 'makava']",34,0.029126213592233,0.990291262135919
community cluster 1297,"['fashiongram', 'fashionstyle', 'streetstyle', 'fashionlover', 'graz', 'fashionista', 'ootdfashion', 'selflove']",19,0.049689440993789,0.944099378881989
community cluster 1065,"['neuimregal', 'frucht', 'ananas', 'wein', 'abnehmen', 'energy', 'summer']",18,0.050847457627119,0.915254237288136
community cluster 3691,"['cloudstagram', 'cloudslime', 'cloudscape', 'styria', 'flyingprivate', 'cloudssurfing', 'clouds', 'cloudsurfing']",23,0.038461538461539,0.884615384615384
community cluster 312,"['mondsteingrau', 'mindsetmatters', 'styria', 'sunsetlover', 'newcar', 'nightsky', 'desire', 'newadventures']",22,0.04,0.879999999999997
community cluster 3322,"['shoesofinsta', 'shoefielicious', 'shoestagrammer', 'shoefiequeen', 'shoefies', 'shoeaholic', 'shoesonfire', 'shoestylist']",9,0.09433962264151,0.849056603773585
community cluster 3382,"['designboom', 'shoebrand', 'designers', 'brandnewshoes', 'designmilk', 'designerwear', 'dezeen', 'yellowshoes']",9,0.090909090909091,0.818181818181817
community cluster 3598,"['adventuretravel', 'adventuretime', 'nature', 'relaxing', 'landscape', 'goodlife']",43.75,0.018181818181818,0.795454545454543
community cluster 3256,"['worthamillion', 'worthafortune', 'firstprize', 'toiletpaper', 'redhighheels', 'redheels']",11.25,0.070175438596491,0.789473684210527
community cluster 3640,"['austrialife', 'austriagram', 'austriatravel', 'austriatoday', 'austriatrip', 'austriaphotography', 'austria', 'loveaustria']",7,0.108695652173913,0.760869565217392
community cluster 1846,"['accessories', 'classy', 'vacation', 'italy', 'austria', 'springvibes', 'spring']",39.375,0.018867924528302,0.742924528301892
community cluster 768,"['unternehmer', 'gründen', 'unternehmerin', 'frauenunterstützenfrauen', 'steiermark', 'nushu', 'sheconomy', 'igersmunich']",24,0.030769230769231,0.73846153846154
community cluster 795,"['poscastösterreich', 'biografiearbeit', 'fraueningraz', 'gründerstory', 'steiermark', 'podcastdeutschland', 'unternehmerstory', 'frauenvorbilder']",24,0.03,0.72
community cluster 1857,"['corgi', 'graz', 'vacation', 'igersgraz', 'dog', 'italy', 'venice']",57.375,0.012345679012346,0.70833333333334
community cluster 1020,"['stayhydrated', 'startup', 'hanf', 'food', 'healthyfood', 'snack', 'liebe', 'entspannung']",50,0.014084507042254,0.704225352112674
community cluster 1074,"['greatpeople', 'awesome', 'graz', 'couple', 'lendplatz', 'magicmoment', 'beauty', 'break']",22,0.031746031746032,0.6984126984127
community cluster 1932,"['bäckereiöfferl', 'öfferlbrot', 'öfferl', 'sogood', 'BagCoffeeMaker', 'healthy', 'bio', 'arisanal']",19,0.035294117647059,0.670588235294118
community cluster 2780,"['daslebenversüßen', 'bestenkinderwelt', 'beef', 'farm', 'vienna', 'wagyubeef', 'wagyu', 'bauernhof']",21,0.03125,0.656249999999998
community cluster 2949,"['shoesfashion', 'shoeaddict', 'kaninchen', 'shoestagram', 'shoelove', 'shoeswag', 'newshoes', 'shoeshopping']",9,0.072727272727273,0.654545454545454
community cluster 2968,"['wedgesneakers', 'wedge', 'wedgeshoes', 'wedgeheels', 'wedgessneakers', 'wedgesshoes', 'newshoes', 'wedges']",9,0.069767441860465,0.627906976744186
community cluster 2771,"['instagram', 'catlover', 'catsofinstagram', 'catlovers', 'cats', 'vienna', 'cat', 'catstagram']",32,0.019607843137255,0.627450980392155
community cluster 570,"['magazin', 'nachhaltig', 'news', 'startup', 'ostern', 'magazine', 'organic']",50.625,0.012345679012346,0.625000000000006
community cluster 1356,"['foodphotography', 'womensday', 'foodlover', 'creativemind', 'eatinghealthy', 'photography', 'veganbreakfast', 'veganfood']",50,0.0125,0.624999999999998
community cluster 2817,"['landleben', 'holiday', 'rednails', 'urlaub', 'vienna', 'fleisch', 'duft', 'kaffee']",41,0.015197568389058,0.623100303951366
community cluster 723,"['selbstbewusstsein', 'glaubandich', 'selbstliebe', 'folgedeinemherzen', 'bewusstheit', 'dubistwertvoll', 'wahrheit', 'bewusstsein']",17,0.035714285714286,0.607142857142857
community cluster 702,"['ConEseCuerpazoYAcercateMasAMiaMi', 'ycuandoyotevi', 'wildheart', 'holidayvibes', 'sertanejo', 'mallorca', 'faltaeu', 'palmademallorca']",9,0.067307692307692,0.605769230769231
community cluster 914,"['bewusstessen', 'vegan', 'reels', 'erdbeeren', 'food', 'zerowaste', 'veganlife', 'curry']",42,0.014285714285714,0.599999999999998
community cluster 1897,"['bloomcoffeeschool', 'specialtycoffee', 'rose', 'wahrelieberostetnicht', 'icecoffee', 'Gewinnspiel', 'rost', 'BagCoffeeMaker']",18,0.028846153846154,0.519230769230769
community cluster 2861,"['naturephotography', 'adventuretravel', 'naturelover', 'naturelove', 'graz', 'naturelovers', 'sea']",31.5,0.016064257028113,0.506024096385545
community cluster 3361,"['instashoes', 'pumpshoe', 'weekendmood', 'pumps', 'designed', 'pumpshoes', 'highquality', 'yellowshoes']",14,0.035714285714286,0.5
community cluster 574,"['limitededition', 'local', 'startup', 'easter', 'ostern', 'austria', 'gewinnen']",36,0.013888888888889,0.499999999999998
community cluster 2854,"['mitarbeitermotivation', 'kommunikation', 'welovewhatwedo']",9.75,0.050847457627119,0.495762711864407
community cluster 984,"['erfrischungsgetränk', 'ingwer', 'vegan', 'guarana', 'icetea', 'startup', 'eistee', 'koffein']",55,0.009009009009009,0.4954954954955
community cluster 1883,"['cheersrost', 'ingwer', 'ginger', 'wermut', 'coldbrew', 'editions', 'cheers', 'wermouth']",26,0.018867924528302,0.490566037735847
community cluster 172,"['inspiration', 'onset', 'greenscreen', 'iphone', 'studio', 'musicvideo', 'austria', 'creative']",24,0.019933554817276,0.478405315614616
community cluster 3615,"['natureshots', 'travelinaustria', 'adventuretravel', 'outdoorshoot', 'naturel', 'naturehome', 'steiermark', 'naturepic']",26,0.018181818181818,0.472727272727271
community cluster 1613,"['bestfood', 'holunder', 'veggie', 'gastro', 'job', 'food', 'kochen', 'wein']",32,0.014285714285714,0.45714285714286
community cluster 2549,"['goodtime', 'wedding', 'family', 'relax', 'tb', 'love', 'enjoylife']",63,0.00709219858156,0.446808510638296
community cluster 3460,"['instagramshoes', 'stylingshoes', 'firstprize', 'stylishshoes', 'redhighheels', 'redheels']",11.25,0.038805970149254,0.436567164179105
community cluster 1805,"['quarantäne', 'bingo', 'summertime', 'musikbingo', 'game', 'wandern', 'graz', 'sommeringraz']",26,0.016666666666667,0.433333333333332
community cluster 3867,"['lockdown', 'piosenkarka', 'gohanna', 'cover', 'womanpower', 'vocals', 'repost', 'berlin']",22,0.019607843137255,0.431372549019606
community cluster 983,"['lorenzfingerfoobox', 'veggielife', 'weareback', 'essenmachtglücklich', 'polenta', 'mitliebegemacht', 'veggiefood', 'esseningraz']",15,0.028571428571429,0.428571428571429
community cluster 594,"['verlosung', 'gewinnen']",7,0.057692307692308,0.403846153846154
community cluster 3336,"['lifeisbeautiful', 'newstyle', 'fashionstyle', 'newchapter', 'newstory', 'lifeischange', 'shoesonfire', 'lifestyle']",16,0.025,0.400000000000001
community cluster 1862,"['mayermayer', 'holiday', 'afterwork', 'strategy', 'graz', 'newwork', 'summer', 'innovation']",23,0.016949152542373,0.389830508474575
community cluster 2988,"['uniquewomen', 'unique', 'uniquejewelry', 'roteschuhe', 'uniquewoman', 'style2020', 'rotehighheels', 'newshoes']",10,0.037037037037037,0.37037037037037
community cluster 2597,"['fotterbreakfastclub', 'cafefottergraz', 'frühstückeningraz', 'frühstückingraz', 'fottern', 'breakfastingraz', 'bestbreakfast']",16.875,0.021885521885522,0.369318181818181
community cluster 3864,"['genderequality', 'feminism', 'equality', 'feminismus', 'berlin', 'genderdiversity', 'diedohnal', 'thefutureisfemale']",13,0.027397260273973,0.356164383561645
community cluster 1764,"['schwarztee', 'urlaub', 'selfmade', 'blacktea', 'win', 'berries']",32.5,0.010344827586207,0.33620689655173
community cluster 3552,"['kapuzinerkresse', 'veggie', 'spinat', 'spinatstrudel', 'reopening', 'mitliebegemacht', 'fingerfoodbox', 'fingerfood']",15,0.021978021978022,0.329670329670331
community cluster 3530,"['storyteller', 'firstprize', 'comic', 'story']",7.5,0.043715846994535,0.327868852459015
community cluster 3804,"['treesinnature', 'treesofinstagram', 'natureshot']",6.5,0.05,0.325
community cluster 2256,"['hobbycooking', 'keepsmiling', 'chappi', 'styria', 'newphew', 'delicious', 'berries']",34.875,0.009132420091324,0.31849315068493
community cluster 1776,"['international', 'minze', 'genuss', 'lemon', 'niederlande', 'berlin', 'austria', 'tester']",22,0.014084507042254,0.309859154929576
community cluster 3811,"['lalehosmany', 'empowerment', 'igersösterreich', 'frauenrechte', 'mixing', 'afghanistan', 'neon', 'fashion']",21,0.014705882352941,0.308823529411764
community cluster 705,"['idontneedbodyguards', 'tropicanabeachclub', 'lostsoul', 'beforeitgotmessy', 'gatinha', 'beijinho', 'sertanejo', 'festamenina']",9,0.033613445378151,0.302521008403362
community cluster 793,"['kindundbusiness', 'nowhining', 'steiermark', 'macherin', 'doers', 'grazerbusinessmamas', 'winelover', 'motivationalquotes']",27,0.010869565217391,0.293478260869564
community cluster 2471,"['enjoyingnaturesbeauty', 'qualitytime', 'guggenheimmuseum', 'botanicalgarden', 'inlove', 'steiermark', 'dobiniherdogherihin', 'lovenature']",33,0.008264462809917,0.272727272727272
community cluster 585,"['pizzateig', 'local', 'supportlocal', 'pizza', 'win', 'winwinwin', 'austria']",28.125,0.009433962264151,0.265330188679244
community cluster 3876,"['aboutlastnight', 'berlindayandnight', 'berlinmusic', 'berlin', 'nightshot', 'beats', 'nightshooters', 'laplaya']",11,0.024096385542169,0.265060240963856
community cluster 2194,"['handmadewithlove', 'trinkenhilft', 'partnerincrime', 'grimace', 'youngandurban', 'perfectmoment', 'handmade', 'drinks']",24,0.010989010989011,0.263736263736263
community cluster 3350,"['yellowheels', 'yellowheel', 'heelsonfire', 'heels2020', 'yellowhighheels', 'newhighheels', 'highheels2020', 'yellowshoes']",11,0.023255813953489,0.255813953488373
community cluster 1350,"['socialmediamarketing', 'womenpower']",7,0.03448275862069,0.241379310344828
community cluster 2823,"['hotelmeliavienna', 'drinkingwine', 'enyoinglife', 'vienna', 'wienbeinacht', 'schönwars', 'danke', 'thanks']",22,0.010752688172043,0.236559139784948
community cluster 1640,"['11erChallenge', 'redcenterlime', 'blutlimette', '11erChallenge21', 'notjustapearlchallenge', 'sommercocktails', 'blut', 'essensliebhaber']",9,0.025974025974026,0.233766233766234
community cluster 3656,"['natureingraz', 'sauberhalten', 'naturephoto', 'natureislife', 'schauenwirdrauf', 'austria', 'naturediscovery', 'nature_lovers']",6,0.03448275862069,0.206896551724138
community cluster 494,"['cookies', 'cake', 'icetea', 'healthyfood', 'fruits', 'nosugar', 'yummy', 'berries']",51,0.003861003861004,0.196911196911196
community cluster 3872,"['miejskadżungla', 'urbanjungle', 'longboarding', 'halfpipe', 'citylife', 'skate', 'havingfun', 'berlin']",16,0.01219512195122,0.195121951219512
community cluster 3485,"['fridaymood', 'feetup', 'dressup', 'fridayfeet', 'feetupfriday', 'fashionable', 'redheels', 'fridayfeeling']",11,0.017241379310345,0.189655172413795
community cluster 1617,"['süssigkeiten', 'süssesbusiness', 'bäcker', 'bäckerin', 'notjustapearlchallenge', 'zuckerbäcker', 'desserts', 'kochen']",14,0.013513513513514,0.189189189189189
community cluster 1698,"['fruity', 'sommer', 'fresh', 'icedtea', 'win', 'eistee', 'beeren', 'tasting']",37,0.005102040816327,0.188775510204081
community cluster 2992,"['idontgiveashit', 'footwearnews', 'instashoestyle', 'blonde', 'shoesfashionista', 'newshoes', 'shooting', 'damenschuhe']",15,0.01219512195122,0.182926829268292
community cluster 2958,"['bondingtime', 'bondingmoment', 'child', 'fashionphotography', 'heavenly', 'newshoes', 'bondingmoments', 'maria']",11,0.015384615384616,0.169230769230771
community cluster 2790,"['takeawayfood', 'foodpicture', 'bestfood', 'eatinghealthy', 'foodmarket', 'vienna', 'freshpasta', 'farina']",24,0.006802721088435,0.163265306122448
community cluster 3827,"['afghanwomen', 'undercut', 'styling', 'fritzortner', 'fotography', 'hair', 'afghanistan', 'bathroom']",10,0.015873015873016,0.158730158730158
community cluster 2959,"['firstfashionista', 'shoesfromheaven', 'shoedazzlegirl', 'firstfashioninfluencer', 'paradise', 'statementpiece', 'shoefashionista', 'newshoes']",12,0.012345679012346,0.148148148148148
community cluster 3077,"['footpainrelief', 'shoesshoesshoes', 'footpain', 'nomore', 'footpainsucks', 'newshoesdaily', 'shoesdaily', 'memes']",10,0.013698630136986,0.136986301369863
community cluster 3381,"['interiordesign', 'designlover', 'atnight', 'design', 'architecturedesign', 'industrialdesign', 'designinterior', 'yellowshoes']",13,0.010452961672474,0.135888501742161
community cluster 3645,"['freedomaustria', 'freedom', 'austriatour', 'lifeislife', 'reelsofinstagram', 'austriaisbeautiful', 'austria', 'austriareels']",8,0.013333333333333,0.106666666666666
community cluster 3458,"['pumpshoe', 'stylereport', 'firstprize', 'pumps', 'redhighheels', 'pumpshoes']",11.25,0.004444444444444,0.05
community cluster 2704,"['gewinnspiel', 'muttertag', 'love', 'natur', 'veggie', 'Gewinnspiel', 'healthyfood', 'drinks']",76,0,0
community cluster 2776,"['qualitytime', 'love', 'summervibes', 'familytime', 'coffeetime', 'red', 'summer', 'walkingaround']",61,0,0
community cluster 352,"['frühstück', 'love', 'drinks', 'cheers', 'drink', 'cat', 'chocolate', 'alcohol']",58,0,0
community cluster 1419,"['foodporn', 'foodlover', 'restaurant', 'backen', 'kochen', 'cooking', 'foodie', 'art']",56,0,0
community cluster 2672,"['2min2mio', 'happy', 'genießen', 'genuss', 'sommer', 'Gewinnspiel', 'win', 'regional']",56,0,0
community cluster 2682,"['2min2mio', 'news', 'natur', 'abkühlung', 'steiermark', 'icetea', 'eistee', 'summer']",54,0,0
community cluster 2367,"['valentinesday', 'muttertag', 'genuss', 'mothersday', 'valentinstag', 'wochenende', 'brunch', 'igersaustria']",51,0,0
community cluster 1506,"['goodmorning', 'cute', 'style', 'smile', 'life', 'foodlovers', 'cooking', 'fashion']",50,0,0
community cluster 989,"['gesund', 'ingwer', 'hamburg', 'vegan', 'eistee', 'bio', 'snack', 'organic']",47,0,0
community cluster 2364,"['valentinesday', 'igersstyria', 'corona', 'mothersday', 'valentinstag', 'nature', 'wochenende', 'brunch']",44,0,0
community cluster 1012,"['gesund', 'new', 'ingwer', 'hamburg', 'apfel', 'vegan', 'bio', 'organic']",43,0,0
community cluster 16,"['best', 'travel', 'bay', 'vacation', 'pool', 'nice', 'green', 'summer']",42,0,0
community cluster 1008,"['gesund', 'ingwer', 'hamburg', 'vegan', 'guarana', 'matcha', 'bio', 'organic']",42,0,0
community cluster 1217,"['quoteoftheday', 'muttertag', 'holiday', 'celebrate', 'jan', 'essenszitat']",35,0,0
community cluster 87,"['sunshine', 'animals', 'sunset', 'india', 'italy', 'austria', 'summer']",31.5,0,0
community cluster 2086,"['christmas', 'merrychristmas', 'fashionista', 'moda', 'austria', 'shooting', 'lifestyle']",30.375,0,0
community cluster 2312,"['urbanjungle', 'rollsroyce', 'singer', 'streetstyle', 'igersvienna', 'citylife', 'musicvideo', 'urban']",30,0,0
community cluster 2442,"['valentinesday', 'sightseeing', 'valentinstag', 'mothersday', 'brunch', 'zeit', 'sonne', 'selfie']",30,0,0
community cluster 181,"['goodvibes', 'flowers', 'carlover', 'graz', 'sofresh', 'awareness', 'vibe', 'austria']",27,0,0
community cluster 786,"['frauenimbusiness', 'steirerin', 'gründermütter', 'steiermark', 'mut', 'muttutgut', 'brenebrownquotes', 'shepreneur']",27,0,0
community cluster 2982,"['goneswimming', 'fancyshoes', 'summervibes', 'sneakerhead', 'shoesday', 'newshoes', 'learntoswim', 'shoefan']",27,0,0
community cluster 2824,"['lightsinthedark', 'farmgirl', 'garden', 'vienna', 'landwirtschaft', 'moments', 'justtakeapicture', 'blumen']",23,0,0
community cluster 2169,"['mate', 'funny', 'fresh', 'vote', 'graz', 'marry', 'handmade', 'austria']",21,0,0
community cluster 157,"['beachvolleyball', 'ameizing', 'winzer', 'baderhaus', 'meinausseerland', 'weinereiimbaderhaus', 'viennamajor', 'art']",20,0,0
community cluster 2159,"['blackberries', 'cooperation', 'bigeyes', 'vegandrink', 'glassbottle', 'barbershop', 'icetea', 'somethingaboutmarry']",19,0,0
community cluster 2978,"['vatertag2020', 'mode', 'vatertag', 'style', 'details', 'newshoes', 'fathersday2020', 'fathersday']",18,0,0
community cluster 3156,"['vatertag2020', 'vatertag', 'style', 'happyhalloween', 'shoestylist', 'details', 'fathersday2020', 'fathersday']",18,0,0
community cluster 3323,"['vatertag2020', 'mode', 'vatertag', 'style', 'shoesonfire', 'details', 'fathersday2020', 'fathersday']",18,0,0
community cluster 1936,"['forhomeandcommercialuse', 'nitro', 'BagCoffeeMaker', 'coffeeontap', 'booom', 'nitrocoldbrew', 'ontap', 'spring']",16,0,0
community cluster 3144,"['halloweencostume', 'halloweencountdown', 'worthafortune', 'halloweencorona', 'halloween', 'happyhalloween', 'halloween2020', 'coronacostume']",15,0,0
community cluster 2966,"['halloweencostume', 'halloweencountdown', 'halloweencorona', 'halloween', 'halloween2020', 'costume', 'coronacostume', 'newshoes']",14,0,0
community cluster 3366,"['worldsfirst', 'popuplab', 'explore', 'experience', 'niedagewesen', 'walking', 'gefühl', 'yellowshoes']",13,0,0
community cluster 3468,"['luxuryshoes', 'fashionshoes', 'newin', 'firstprize', 'redhighheels', 'redheels']",12.5,0,0
community cluster 3103,"['sapatosfemininos', 'fashiongram', 'luxuryshoes', 'fashionshoes', 'newin', 'sapatilhalovers', 'sneakerhead', 'memes']",12,0,0
community cluster 3399,"['sapatosfemininos', 'yellowheels', 'fashiongram', 'luxuryshoes', 'fashionshoes', 'newin', 'sapatilhalovers', 'sneakerhead']",12,0,0
community cluster 2983,"['sapatosfemininos', 'fashiongram', 'luxuryshoes', 'newin', 'fashionshoes', 'sapatilhalovers', 'shoefreak', 'newshoes']",11,0,0
community cluster 3162,"['sapatosfemininos', 'luxuryshoes', 'newin', 'fashionshoes', 'sapatilhalovers', 'happyhalloween', 'trend', 'shoefreak']",11,0,0
community cluster 2984,"['worldsfirst', 'murinsel', 'popuplab', 'trend', 'summer2020', 'watercooling', 'hothothot', 'newshoes']",10,0,0
community cluster 152,"['silviawolfsgruber', 'exhibition', 'ameizing', 'badaussee', 'formulaone', 'motorsport', 'artandfriends', 'formel1']",9,0,0
community cluster 1361,"['workout', 'nike']",7,0,0
community cluster 2203,"['dontworrybemarry', 'berrydrink', 'partnerincrime', 'productshot', 'notserious', 'icedtea', 'humour', 'funatwork']",11,-0.005263157894737,-0.057894736842105
